frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects,usage_depth
0,500,0,3,2,1.0000,12.00,0.00,1,0.003,2,0
1,800,0,3,2,1.0000,12.00,0.00,1,0.002,2,0
2,1100,0,3,2,1.0000,12.00,0.00,1,0.001,2,1
3,1400,0,3,2,1.0000,12.00,0.00,1,0.002,2,1
4,1700,0,3,2,1.0000,12.00,0.00,1,0.003,2,2
5,2000,0,3,2,1.0000,12.00,0.00,1,0.002,2,1
6,2300,0,3,2,1.0000,12.00,0.00,1,0.002,2,0
7,2600,0,3,2,1.0000,12.00,0.00,1,0.003,2,1
