frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects,audio_suppression
0,1000,0,0,0,0.0000,478.00,0.00,0,0.003,1,none
1,1070,0,0,0,0.0000,478.00,0.00,0,0.003,1,none
2,1200,0,0,0,0.0000,478.00,0.00,0,0.002,1,none
3,1270,0,0,0,0.0000,478.00,0.00,0,0.003,1,none
4,1500,0,0,0,0.0000,478.00,0.00,0,0.002,1,none
5,1900,0,0,0,0.0000,478.00,0.00,0,0.002,1,none
