frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects,audio_suppression
0,1000,0,0,0,0.0000,478.00,0.00,0,0.002,1,none
1,1070,0,0,0,0.0000,478.00,0.00,0,0.003,1,motion
2,1200,0,0,0,0.0000,478.00,0.00,0,0.003,1,motion
3,1250,0,0,0,0.0000,478.00,0.00,0,0.001,1,motion
4,1320,0,0,0,0.0000,478.00,0.00,0,0.001,1,motion
