frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects,audio_suppression
0,1000,0,0,0,0.0000,478.00,0.00,0,0.001,1,none
1,1001,1,0,0,0.0000,478.00,0.00,0,0.004,1,touch
2,1071,1,0,0,0.0000,478.00,0.00,0,0.003,1,touch
3,1100,0,0,0,0.0000,478.00,0.00,0,0.001,1,touch
4,1170,0,0,0,0.0000,478.00,0.00,0,0.002,1,touch
5,1400,0,0,0,0.0000,478.00,0.00,0,0.003,1,none
