frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects,audio_suppression
0,1000,0,0,0,0.0000,478.00,0.00,0,0.001,1,none
1,1010,0,3,2,1.0000,12.00,0.00,1,0.005,2,hidden
2,1080,0,3,2,1.0000,12.00,0.00,1,0.002,2,hidden
3,1100,0,0,0,0.0000,478.00,0.00,0,0.001,2,none
4,1200,0,0,0,0.0000,478.00,0.00,0,0.002,2,none
