amplitude,max_angle,rest_angle_500ms,max_spiral,max_fatigue
0.12,0.0000,0.0000,0.0000,0.0000
0.25,0.0000,0.0000,0.0000,0.0027
0.45,0.0000,0.0000,0.0000,0.1385
0.80,0.0000,0.0000,0.0767,0.6531
1.30,0.0000,0.0000,0.9285,0.9888
