amplitude,max_angle,rest_angle_500ms,max_spiral,max_fatigue
0.12,2.5727,-0.2137,0.0000,0.0000
0.25,5.4830,-0.2423,0.0000,0.1594
0.45,15.7548,0.8882,1.0000,1.0000
0.80,4.1022,0.2612,1.0000,1.0000
1.30,3.1072,0.1846,1.0000,1.0000
