frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
0,500,1,0,1,0.0000,-454.00,0.00,0,0.345,2
1,700,1,1,1,0.7575,-101.00,0.00,0,1.019,2
2,720,1,1,1,0.6931,-131.00,-1500.00,0,0.871,2
3,740,1,1,1,0.6288,-161.00,-1500.00,0,0.822,2
4,745,0,2,1,0.6288,-161.00,-1500.00,0,0.061,2
5,1245,0,0,1,0.0000,-454.00,0.00,0,0.020,2
