frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
98,18480,0,2,1,0.6502,-151.00,0.00,0,0.051,2
99,18980,0,3,1,1.0000,12.00,0.00,1,0.042,2
100,19000,1,3,1,1.0000,12.00,0.00,1,0.046,2
101,19020,1,1,1,0.3176,-306.00,-16500.00,1,0.607,2
102,19220,0,2,1,0.3176,-306.00,0.00,1,0.056,2
103,19720,0,0,1,0.0000,-454.00,0.00,0,0.024,2
104,19740,1,0,1,0.0000,-454.00,0.00,0,0.033,2
105,19760,1,1,1,0.6502,-151.00,15750.00,0,0.752,2
106,19960,0,2,1,0.6502,-151.00,0.00,0,0.048,2
107,20460,0,3,1,1.0000,12.00,0.00,1,0.044,2
108,20480,1,3,1,1.0000,12.00,0.00,1,0.042,2
109,20500,1,1,1,0.3176,-306.00,-16500.00,1,0.595,2
110,20700,0,2,1,0.3176,-306.00,0.00,1,0.058,2
111,21200,0,0,1,0.0000,-454.00,0.00,0,0.020,2
112,21220,1,0,1,0.0000,-454.00,0.00,0,0.029,2
113,21240,1,1,1,0.6502,-151.00,15750.00,0,0.849,2
114,21440,0,2,1,0.6502,-151.00,0.00,0,0.048,2
115,21940,0,3,1,1.0000,12.00,0.00,1,0.043,2
116,21960,1,3,1,1.0000,12.00,0.00,1,0.039,2
117,21980,1,1,1,0.3176,-306.00,-16500.00,1,0.592,2
118,22180,0,2,1,0.3176,-306.00,0.00,1,0.055,2
119,22680,0,0,1,0.0000,-454.00,0.00,0,0.018,2
120,22700,1,0,1,0.0000,-454.00,0.00,0,0.028,2
121,22720,1,1,1,0.6502,-151.00,15750.00,0,0.773,2
122,22920,0,2,1,0.6502,-151.00,0.00,0,0.049,2
123,23420,0,3,1,1.0000,12.00,0.00,1,0.041,2
124,23440,1,3,1,1.0000,12.00,0.00,1,0.041,2
125,23460,1,1,1,0.3176,-306.00,-16500.00,1,0.576,2
126,23660,0,2,1,0.3176,-306.00,0.00,1,0.066,2
127,24160,0,0,1,0.0000,-454.00,0.00,0,0.020,2
128,24180,1,0,1,0.0000,-454.00,0.00,0,0.029,2
129,24200,1,1,1,0.6502,-151.00,15750.00,0,0.741,2
130,24400,0,2,1,0.6502,-151.00,0.00,0,0.056,2
131,24900,0,3,1,1.0000,12.00,0.00,1,0.046,2
132,24920,1,3,1,1.0000,12.00,0.00,1,0.040,2
133,24940,1,1,1,0.3176,-306.00,-16500.00,1,0.584,2
134,25140,0,2,1,0.3176,-306.00,0.00,1,0.063,2
135,25640,0,0,1,0.0000,-454.00,0.00,0,0.020,2
136,25660,1,0,1,0.0000,-454.00,0.00,0,0.033,2
137,25680,1,1,1,0.6502,-151.00,15750.00,0,0.789,2
138,25880,0,2,1,0.6502,-151.00,0.00,0,0.053,2
139,26380,0,3,1,1.0000,12.00,0.00,1,0.047,2
140,26400,1,3,1,1.0000,12.00,0.00,1,0.040,2
141,26420,1,1,1,0.3176,-306.00,-16500.00,1,0.588,2
142,26620,0,2,1,0.3176,-306.00,0.00,1,0.059,2
143,27120,0,0,1,0.0000,-454.00,0.00,0,0.024,2
144,27140,1,0,1,0.0000,-454.00,0.00,0,0.038,2
145,27160,1,1,1,0.6502,-151.00,15750.00,0,0.806,2
146,27360,0,2,1,0.6502,-151.00,0.00,0,0.053,2
147,27860,0,3,1,1.0000,12.00,0.00,1,0.042,2
148,27880,1,3,1,1.0000,12.00,0.00,1,0.055,2
149,27900,1,1,1,0.3176,-306.00,-16500.00,1,0.568,2
150,28100,0,2,1,0.3176,-306.00,0.00,1,0.065,2
151,28600,0,0,1,0.0000,-454.00,0.00,0,0.021,2
152,28620,1,0,1,0.0000,-454.00,0.00,0,0.033,2
153,28640,1,1,1,0.6502,-151.00,15750.00,0,0.779,2
154,28840,0,2,1,0.6502,-151.00,0.00,0,0.050,2
155,29340,0,3,1,1.0000,12.00,0.00,1,0.042,2
156,29360,1,3,1,1.0000,12.00,0.00,1,0.039,2
157,29380,1,1,1,0.3176,-306.00,-16500.00,1,0.557,2
158,29580,0,2,1,0.3176,-306.00,0.00,1,0.065,2
159,30080,0,0,1,0.0000,-454.00,0.00,0,0.020,2
160,30100,1,0,1,0.0000,-454.00,0.00,0,0.029,2
161,30120,1,1,1,0.6502,-151.00,15750.00,0,0.805,2
162,30320,0,2,1,0.6502,-151.00,0.00,0,0.051,2
163,30820,0,3,1,1.0000,12.00,0.00,1,0.044,2
164,30840,1,3,1,1.0000,12.00,0.00,1,0.042,2
165,30860,1,1,1,0.3176,-306.00,-16500.00,1,0.579,2
166,31060,0,2,1,0.3176,-306.00,0.00,1,0.058,2
167,31560,0,0,1,0.0000,-454.00,0.00,0,0.019,2
168,31580,1,0,1,0.0000,-454.00,0.00,0,0.033,2
169,31600,1,1,1,0.6502,-151.00,15750.00,0,0.774,2
170,31800,0,2,1,0.6502,-151.00,0.00,0,0.051,2
171,32300,0,3,1,1.0000,12.00,0.00,1,0.043,2
172,32320,1,3,1,1.0000,12.00,0.00,1,0.040,2
173,32340,1,1,1,0.3176,-306.00,-16500.00,1,0.568,2
174,32540,0,2,1,0.3176,-306.00,0.00,1,0.059,2
175,33040,0,0,1,0.0000,-454.00,0.00,0,0.020,2
176,33060,1,0,1,0.0000,-454.00,0.00,0,0.030,2
177,33080,1,1,1,0.6502,-151.00,15750.00,0,0.766,2
178,33280,0,2,1,0.6502,-151.00,0.00,0,0.058,2
179,33780,0,3,1,1.0000,12.00,0.00,1,0.042,2
180,33800,1,3,1,1.0000,12.00,0.00,1,0.040,2
181,33820,1,1,1,0.3176,-306.00,-16500.00,1,0.576,2
182,34020,0,2,1,0.3176,-306.00,0.00,1,0.060,2
183,34520,0,0,1,0.0000,-454.00,0.00,0,0.021,2
184,34540,1,0,1,0.0000,-454.00,0.00,0,0.028,2
185,34560,1,1,1,0.6502,-151.00,15750.00,0,0.768,2
186,34760,0,2,1,0.6502,-151.00,0.00,0,0.051,2
187,35260,0,3,1,1.0000,12.00,0.00,1,0.045,2
188,35280,1,3,1,1.0000,12.00,0.00,1,0.045,2
189,35300,1,1,1,0.3176,-306.00,-16500.00,1,0.571,2
190,35500,0,2,1,0.3176,-306.00,0.00,1,0.058,2
191,36000,0,0,1,0.0000,-454.00,0.00,0,0.019,2
192,36020,1,0,1,0.0000,-454.00,0.00,0,0.029,2
193,36040,1,1,1,0.6502,-151.00,15750.00,0,0.810,2
194,36240,0,2,1,0.6502,-151.00,0.00,0,0.049,2
195,36740,0,3,1,1.0000,12.00,0.00,1,0.044,2
196,36760,1,3,1,1.0000,12.00,0.00,1,0.041,2
197,36780,1,1,1,0.3176,-306.00,-16500.00,1,0.552,2
198,36980,0,2,1,0.3176,-306.00,0.00,1,0.067,2
199,37480,0,0,1,0.0000,-454.00,0.00,0,0.019,2
200,37500,1,0,1,0.0000,-454.00,0.00,0,0.030,2
201,37520,1,1,1,0.6502,-151.00,15750.00,0,0.783,2
202,37720,0,2,1,0.6502,-151.00,0.00,0,0.050,2
203,38220,0,3,1,1.0000,12.00,0.00,1,0.046,2
204,38240,1,3,1,1.0000,12.00,0.00,1,0.040,2
205,38260,1,1,1,0.3176,-306.00,-16500.00,1,0.636,2
206,38460,0,2,1,0.3176,-306.00,0.00,1,0.058,2
207,38960,0,0,1,0.0000,-454.00,0.00,0,0.019,2
208,38980,1,0,1,0.0000,-454.00,0.00,0,0.028,2
209,39000,1,1,1,0.6502,-151.00,15750.00,0,0.756,2
210,39200,0,2,1,0.6502,-151.00,0.00,0,0.054,2
211,39700,0,3,1,1.0000,12.00,0.00,1,0.046,2
212,39720,1,3,1,1.0000,12.00,0.00,1,0.049,2
213,39740,1,1,1,0.3176,-306.00,-16500.00,1,0.570,2
214,39940,0,2,1,0.3176,-306.00,0.00,1,0.060,2
215,40440,0,0,1,0.0000,-454.00,0.00,0,0.019,2
216,40460,1,0,1,0.0000,-454.00,0.00,0,0.030,2
217,40480,1,1,1,0.6502,-151.00,15750.00,0,0.758,2
218,40680,0,2,1,0.6502,-151.00,0.00,0,0.053,2
219,41180,0,3,1,1.0000,12.00,0.00,1,0.045,2
220,41200,1,3,1,1.0000,12.00,0.00,1,0.040,2
221,41220,1,1,1,0.3176,-306.00,-16500.00,1,0.617,2
222,41420,0,2,1,0.3176,-306.00,0.00,1,0.063,2
223,41920,0,0,1,0.0000,-454.00,0.00,0,0.021,2
224,41940,1,0,1,0.0000,-454.00,0.00,0,0.030,2
225,41960,1,1,1,0.6502,-151.00,15750.00,0,0.829,2
226,42160,0,2,1,0.6502,-151.00,0.00,0,0.061,2
227,42660,0,3,1,1.0000,12.00,0.00,1,0.045,2
228,42680,1,3,1,1.0000,12.00,0.00,1,0.040,2
229,42700,1,1,1,0.3176,-306.00,-16500.00,1,0.596,2
230,42900,0,2,1,0.3176,-306.00,0.00,1,0.058,2
231,43400,0,0,1,0.0000,-454.00,0.00,0,0.021,2
232,43420,1,0,1,0.0000,-454.00,0.00,0,0.032,2
233,43440,1,1,1,0.6502,-151.00,15750.00,0,0.739,2
234,43640,0,2,1,0.6502,-151.00,0.00,0,0.052,2
235,44140,0,3,1,1.0000,12.00,0.00,1,0.047,2
236,44160,1,3,1,1.0000,12.00,0.00,1,0.044,2
237,44180,1,1,1,0.3176,-306.00,-16500.00,1,0.639,2
238,44380,0,2,1,0.3176,-306.00,0.00,1,0.062,2
239,44880,0,0,1,0.0000,-454.00,0.00,0,0.018,2
