frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
0,500,1,0,1,0.0000,-454.00,0.00,0,0.402,2
1,650,1,1,1,0.1352,-391.00,0.00,0,0.536,2
2,850,0,2,1,0.1352,-391.00,0.00,0,0.045,2
3,1350,0,0,1,0.0000,-454.00,0.00,0,0.024,2
