frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
0,500,1,0,1,0.0000,-454.00,0.00,0,0.353,2
1,2500,1,0,1,0.0000,-454.00,0.00,0,0.021,2
2,2600,0,0,1,0.0000,-454.00,0.00,0,0.018,2
3,3100,0,0,1,0.0000,-454.00,0.00,0,0.020,2
