frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
0,500,1,0,0,0.0000,478.00,0.00,0,0.018,1
1,650,1,0,0,0.0000,478.00,0.00,0,0.016,1
2,750,0,0,0,0.0000,478.00,0.00,0,0.018,1
3,1250,0,0,0,0.0000,478.00,0.00,0,0.017,1
