frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
0,500,1,0,1,0.0000,-454.00,0.00,0,0.378,2
1,650,1,1,1,0.6502,-151.00,0.00,0,0.942,2
2,750,0,2,1,0.6502,-151.00,0.00,0,0.049,2
3,1250,0,3,1,1.0000,12.00,0.00,1,0.047,2
