frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
0,500,1,0,1,0.0000,-454.00,0.00,0,0.367,2
1,520,1,1,1,0.0601,-426.00,2000.00,0,0.422,2
2,550,1,1,1,0.1459,-386.00,1600.00,0,0.243,2
3,555,0,2,1,0.1459,-386.00,1600.00,0,0.066,2
4,1055,0,3,1,1.0000,12.00,0.00,1,0.048,2
