frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
0,500,1,0,1,0.0000,-454.00,0.00,0,0.364,2
1,650,1,1,1,0.5000,-221.00,0.00,0,0.741,2
2,700,2,2,1,0.5000,-221.00,0.00,0,0.062,2
3,750,1,2,1,0.3313,-299.61,-2021.13,0,0.060,2
4,800,0,2,1,0.1542,-382.13,-1217.51,0,0.034,2
5,1300,0,0,1,0.0000,-454.00,0.00,0,0.019,2
