frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
0,500,1,0,1,0.0000,-454.00,0.00,0,0.338,2
1,650,1,1,1,0.6502,-151.00,0.00,0,0.875,2
2,750,0,2,1,0.6502,-151.00,0.00,0,0.050,2
3,1250,0,3,1,1.0000,12.00,0.00,1,0.045,2
4,1350,1,3,1,1.0000,12.00,0.00,1,0.041,2
5,1450,1,1,1,0.9614,-6.00,0.00,1,1.068,2
6,1700,1,1,1,1.0000,17.94,0.00,1,1.066,2
7,1850,0,2,1,1.0000,17.94,0.00,1,0.055,2
8,2350,0,3,1,1.0000,12.00,0.00,1,0.042,2
