frame,time_ms,count,phase,card,progress,y,velocity,stable_open,render_cpu_ms,objects
0,500,1,0,1,0.0000,-454.00,0.00,0,0.381,2
1,520,1,1,1,0.0601,-426.00,2000.00,0,0.414,2
2,550,1,1,1,0.1459,-386.00,1600.00,0,0.229,2
3,850,0,2,1,0.1459,-386.00,0.00,0,0.047,2
4,1350,0,0,1,0.0000,-454.00,0.00,0,0.019,2
